id,em,name,code
445,18654,ПИК ао,PIKK
446,81896,ПавлАвт ао,PAZA
447,16909,ПермьЭнС-п,PMSBP
448,16908,ПермьЭнСб,PMSB
449,17123,Полюс,PLZL
450,80818,Приморье,PRMB
451,74779,РБК ао,RBCM
452,181934,РГС СК ао,RGSS
453,181755,РДБанк ао,RDRB
454,81933,РН-ЗапСиб,CHGZ
455,20637,РОСИНТЕРао,ROST
456,522,РСетКубань,KUBE
457,31,РСетиЛЭ,LSNG
458,542,РСетиЛЭ-п,LSNGP
459,16917,РСетиМР ао,MSRS
460,414279,РУСАЛ ао,RUAL
461,17713,Распадская,RASP
462,152677,Роллман,RLMN
463,2156322,Роллман,MOEX.RLMN:TQPI
464,2156323,Роллман-п,MOEX.RLMNP:TQPI
465,388313,Роллман-п,RLMNP
466,16866,Росбанк ао,ROSB
467,17273,Роснефть,ROSN
468,20681,РоссЮг ао,MRKY
469,20412,Россети СК,MRKK
470,20971,Россети ао,RSTI
471,20972,Россети ап,RSTIP
472,7,Ростел -ао,RTKM
473,15,Ростел -ап,RTKMP
474,20286,РсетВол ао,MRKV
475,20346,РсетСиб ао,MRKS
476,35238,РусАква ао,AQUA
477,20266,РусГидро,HYDR
478,66893,Русгрэйн,RUGR
479,181316,Русолово,ROLO
480,20712,Русполимет,RUSP
481,465236,РуссНфт ао,RNFT
482,16455,РязЭнСб,RZSB
483,491359,САФМАР ао,SFIN
484,20892,СМЗ-ао,MGNZ
485,16080,СОЛЛЕРС,SVAV
486,445,СамарЭн-ао,SAGO
487,70,СамарЭн-ап,SAGOP
488,2135775,Самолет ао,MOEX.SMLT:TQBR
489,81891,СаратНПЗ,KRKN
490,81892,СаратНПЗ-п,KRKNP
491,11,СаратЭн-ао,SARE
492,24,СаратЭн-ап,SAREP
493,473000,Сахэнер ао,SLEN
494,3,Сбербанк,SBER
495,23,Сбербанк-п,SBERP
496,2284141,Светофор,MOEX.SVET:TQBR
497,2380905,Светофор,MOEX.SVET:TQBR
498,16136,СевСт-ао,CHMF
499,2477992,Сегежа,MOEX.SGZH:TQBR
500,81360,Селигдар,SELG
501,82610,Селигдар-п,SELGP
502,436091,СибГост ао,SIBG
503,19715,Система ао,AFKS
504,15723,Слав-ЯНОСп,JNOSP
505,15722,Славн-ЯНОС,JNOS
506,2101210,Совкомфлот,MOEX.FLOT:TQBR
507,20087,СтаврЭнСб,STSB
508,20088,СтаврЭнСбп,STSBP
509,4,Сургнфгз,SNGS
510,13,Сургнфгз-п,SNGSP
511,81914,ТАНТАЛ ао,TANL
512,81915,ТАНТАЛ ап,TANLP
513,18382,ТГК-1,TGKA
514,18176,ТГК-14,TGKN
515,17597,ТГК-2,TGKB
516,18189,ТГК-2 ап,TGKBP
517,20716,ТЗА ао,TUZA
518,81905,ТКЗКК ао,KRKO
519,81906,ТКЗКК ап,KRKOP
520,74746,ТКСМ ао,TUCH
521,18441,ТМК ао,TRMK
522,19916,ТНСэКубань,KBSB
523,16331,ТНСэМаЭл-п,MISBP
524,16547,ТНСэнВор-п,VRSBP
525,16546,ТНСэнВорон,VRSB
526,16330,ТНСэнМарЭл,MISB
527,16615,ТНСэнНН ао,NNSB
528,16616,ТНСэнНН ап,NNSBP
529,16783,ТНСэнРст,RTSB
530,16784,ТНСэнРст-п,RTSBP
531,16342,ТНСэнЯр,YRSB
532,16343,ТНСэнЯр-п,YRSBP
533,420644,ТНСэнрг ао,TNSE
534,16797,ТРК ао,TORS
535,16798,ТРК ап,TORSP
536,16265,ТамбЭнСб,TASB
537,16266,ТамбЭнСб-п,TASBP
538,825,Татнфт 3ао,TATN
539,826,Татнфт 3ап,TATNP
540,18371,Таттел. ао,TTLK
541,21002,Телеграф,CNTL
